PASSENGER_TYPE,LENGTH,ITINERARY_TYPE,CABIN,MARKET,CHANNEL,NEW_MARKET_ROLL_UP,OLD_OLD_MARKET_ROLL_UP,ACCOUNTING_MONTH,MASTER_VOYAGE,MASTER_DEPARTURE_DATE,PASSENGERS,PASSENGER_NIGHTS,CURRENCY,FX.1,PPPD,PPPD_EUR,GROSS_TICKET_REVENUE_LOCAL,GROSS_TICKET_REVENUE_EUR,PRE-EMB_PPPD,PRE-EMB_REVENUE_EUR,FY,BUDGET_NAME,VERSION,UNIQUE_ID,ACTUALS_CODE,EFFECTIVE_FROM,EFFECTIVE_TO,ACTIVE_RECORD_FLAG
G,3,Iconic Aegean,Outside,TUR,Tour Operator,HOME,Home Markets,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280317,17/03/2028,0,0,EUR,1,168,168,0,0,13,0,2027,Budget2025,v1,GOutsideTURTour OperatorCD03280317Budget2025v1,GOutsideTURTour OperatorCD03280317,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,4,Iconic Aegean,Deluxe,CAN,Travel Agency,NORAM,USA,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD04280327,27/03/2028,0,0,USD,0,304,276,0,0,43,0,2027,Budget2025,v1,GDeluxeCANTravel AgencyCD04280327Budget2025v1,GDeluxeCANTravel AgencyCD04280327,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,4,Iconic Aegean,Inside,LAT,Direct,LATAM,LATAM,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD04280327,27/03/2028,0,0,USD,0,142,129,0,0,19,0,2027,Budget2025,v1,GInsideLATDirectCD04280327Budget2025v1,GInsideLATDirectCD04280327,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,14,Positioning Journey,Deluxe,BRI,Tour Operator,UKIE,UKIE,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ14280319,19/03/2028,0,0,GBP,1,82,97,0,0,17,0,2027,Budget2025,v1,GDeluxeBRITour OperatorCJ14280319Budget2025v1,GDeluxeBRITour OperatorCJ14280319,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,3,Iconic Aegean,Deluxe,BRI,Travel Agency,UKIE,UKIE,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,5,15,GBP,1,225,264,3377,3973,83,1258,2027,Budget2025,v1,GDeluxeBRITravel AgencyCD03280324Budget2025v1,GDeluxeBRITravel AgencyCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,7,Desert Days,Deluxe,AFR,Direct,ROW,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ07280312,12/03/2028,0,0,USD,0,182,166,0,0,24,0,2027,Budget2025,v1,GDeluxeAFRDirectCJ07280312Budget2025v1,GDeluxeAFRDirectCJ07280312,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,3,Iconic Aegean,Deluxe,FRA,Direct,FRANCE,FRANCE,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,0,0,EUR,1,0,0,0,0,18,0,2027,Budget2025,v1,GDeluxeFRADirectCD03280324Budget2025v1,GDeluxeFRADirectCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,14,Positioning Journey,Inside,GRC,Travel Agency,HOME,Home Markets,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ14280319,19/03/2028,2,28,EUR,1,97,97,2716,2716,2,82,2027,Budget2025,v1,FInsideGRCTravel AgencyCJ14280319Budget2025v1,FInsideGRCTravel AgencyCJ14280319,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,3,Iconic Aegean,Inside,IND,Direct,AWAY,Away Markets,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280317,17/03/2028,0,0,USD,0,0,0,0,0,0,0,2027,Budget2025,v1,FInsideINDDirectCD03280317Budget2025v1,FInsideINDDirectCD03280317,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,3,Iconic Aegean,Deluxe,BLX,Tour Operator,EU,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280317,17/03/2028,0,0,EUR,1,0,0,0,0,0,0,2027,Budget2025,v1,GDeluxeBLXTour OperatorCD03280317Budget2025v1,GDeluxeBLXTour OperatorCD03280317,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
