Snapshot_Date,Sail_Code,Package_Name,Sail_Days,Cabin_Category,Available_Cabins,Total_Cabins,Available_Absolute,Available_Weighted,Availability_Result,Nested_Cabins
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280218,Iconic Arabia from Abu Dhabi - 7 Nights,7,XD,96,98,95,96,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280218,Iconic Arabia from Abu Dhabi - 7 Nights,7,SG,1,2,1,1,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,XD,96,98,95,96,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,SG,1,2,1,1,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,IB,75,77,74,75,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,XBO,49,52,49,49,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,SJA,2,5,2,2,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,IA,71,73,70,71,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,SJB,21,25,21,21,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,XA,26,28,25,26,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,XB,69,80,68,69,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,SH,1,2,1,1,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,XC,98,100,97,98,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,BA,56,60,56,56,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD07280219,Iconic Arabia from Dubai - 7Nights,7,IC,76,78,75,76,OK,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,SG,0,2,0,0, ,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,IC,0,78,0,0, ,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,XC,0,100,0,0, ,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,SH,0,2,0,0, ,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,XB,0,80,0,0, ,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,XA,0,28,0,0, ,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,SJB,0,25,0,0, ,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,IA,0,73,0,0, ,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,SJA,0,5,0,0, ,0
Wed Oct 22 2025 23:56:06 GMT+0100 (British Summer Time),CD09260306,Abu Dhabi to Sharm El Sheik Discovery - 9Nights,9,XBO,0,52,0,0, ,0
